,Tanggal,Cross 3,Cross 1,Cross 2,FM 3,FM 1,FM 2,MS 1,MS2,UD3,UD1,UD2,NTMY 5,NTMY 3,NTMY 1,NTMY 2,NTMY4
1,07/01/2024,Gita,Jessi,Olla,Lulu,Fiony,Callie,Kathrina,Ashel,Chika,Marsha,Gracie,Adel,Eli,Muthe,Lia,Indira
2,08/01/2024,Gita,Shani,Olla,Lulu,Christy,Jessi,Kathrina,Ashel,Muthe,Marsha,Ella,Adel,Lia,Flora,Oniel,Indah
3,09/01/2024,Gita,Shani,Olla,Chika,Christy,Muthe,Kathrina,Ashel,Lulu,Marsha,Ella,Adel,Eli,Jessi,Lia,Oniel
4,10/01/2024,Oniel,Jessi,Olla,Indira,Fiony,Freya,Kathrina,Gita,Lulu,Marsha,Muthe,Lyn,Cathy,Flora,Cynthia,Greesel
5,11/01/2024,Oniel,Shani,Olla,Lulu,Fiony,Michie,Gracia,Gita,Ella,Muthe,Gracie,Lyn,Indira,Flora,Lia,Indah
6,12/01/2024,Oniel,Jessi,Olla,Indira,Lulu,Michie,Christy,Gita,Ella,Muthe,Gracie,Adel,Lia,Flora,Indah,Greesel
